name,state,city,street,longitude,latitude,website_url,outdoor_,food_,dog_,games_,music_,tour_
Kretschmann Brewing Company,Massachusetts,Webster,9 Frederick St,-71.8807961,42.05004191,http://kbcbrewery.com,Yes,Yes,No,No,No,No
Lamplighter Brewing Co.,Massachusetts,Cambridge,284 Broadway,-71.0979339,42.3679737,http://www.lamplighterbrewing.com,Yes,Yes,No,Yes,No,Yes
Lefty's Brewing Co,Massachusetts,Greenfield,301 Wells St,-72.60686067,42.60121604,http://www.leftysbrew.com,Yes,No,No,No,No,No
Lookout Farm Brewing And Cider Co,Massachusetts,Natick,89 Pleasant St,-71.37096888,42.32235516,http://www.lookoutfarmbrewing.com,Yes,Yes,No,No,Yes,No
Lord Hobo Brewing Co,Massachusetts,Woburn,5 Draper St,-71.12892319,42.47603755,http://lordhobobrewing.com,Yes,Yes,No,Yes,Yes,No
Mayflower Brewing Co,Massachusetts,Plymouth,12 Resnik Rd,-70.71255496,41.94926024,http://www.mayflowerbrewing.com,Yes,Yes,Yes,No,Yes,Yes
Medusa Brewing Company,Massachusetts,Hudson,111 Main St,-71.566681,42.3909986,http://www.medusabrewing.com,Yes,Yes,No,Yes,Yes,No
Merrimack Ales,Massachusetts,Lowell,92 Bolt St,-71.300252,42.625366,http://www.merrimackales.com,No,No,No,No,No,No
Mighty Squirrel,Massachusetts,Waltham,411 Waverley Oaks Rd,-71.2031453,42.3875142,http://www.mightysquirrel.com,Yes,Yes,Yes,Yes,No,No
Moby Dick Brewing Co.,Massachusetts,New Bedford,16 S Water St,-70.92251325,41.63382101,http://www.mobydickbrewing.com,Yes,Yes,Yes,Yes,No,Yes
Mystic Brewery,Massachusetts,Chelsea,174 Williams St,-71.0445104,42.3915659,,Yes,Yes,Yes,Yes,Yes,Yes
Naukabout Brewery,Massachusetts,Mashpee,13 Lake Ave,-70.48425901,41.64936239,http://www.naukabout.com,Yes,Yes,Yes,Yes,Yes,No
Navigation Brewing Co,Massachusetts,Lowell,122 Western Ave,-71.32464812,42.64034997,http://www.navigationbrewing.com,Yes,Yes,Yes,No,Yes,No
New City Brewery,Massachusetts,Easthampton,180 Pleasant St,-72.6593256,42.2744119,,Yes,Yes,Yes,No,Yes,No
Newburyport Brewing Co,Massachusetts,Newburyport,4 New Pasture Rd,-70.88715582,42.8019577,http://www.nbptbrewing.com,Yes,Yes,Yes,Yes,Yes,Yes
"Night Shift Brewing, Inc",Massachusetts,Everett,87 Santilli Hwy,-71.0677001,42.4059393,http://www.nightshiftbrewing.com,Yes,Yes,Yes,Yes,Yes,Yes
Northampton Brewery,Massachusetts,Northampton,11 Brewster Ct,-72.6303406,42.317397,http://www.northamptonbrewery.com,Yes,Yes,No,No,Yes,No
Notch Brewing,Massachusetts,Salem,283R Derby St,-70.8898969,42.52062541,http://www.notchbrewing.com,Yes,Yes,Yes,Yes,Yes,Yes
Offshore Ale Co,Massachusetts,Oak Bluffs,30 Kennebec Ave,-70.55790959,41.45488324,http://www.offshoreale.com,Yes,Yes,No,No,Yes,Yes
Old Colony Brewing,Massachusetts,Whitman,605 Bedford St,-70.948102,42.087448,http://www.oldcolonybrew.com,No,Yes,Yes,No,No,No
Opa Opa Brewery,Massachusetts,Easthampton,19 Wemelco Way,-72.69191299,42.25467048,http://www.opaopasteakhousebrewery.com,Yes,Yes,No,No,No,No
Outlook Farm Brewery,Massachusetts,Westhampton,136 Main Rd,-72.772262,42.285973,http://www.outlookfarm.com,No,Yes,No,No,Yes,No
Owen OLearys Restaurant and Brewery,Massachusetts,Westborough,17 Connector Rd,-71.58591979,42.28996559,http://www.owenolearys.com,Yes,Yes,No,Yes,Yes,No
Percival Brewing Company,Massachusetts,Norwood,83 Morse St,-71.2072323,42.17226305,http://www.percivalbeercompany.com,Yes,Yes,Yes,Yes,Yes,No
Plymouth Beer Company / Dirty Water Distillery,Massachusetts,Plymouth,10 Water St,-70.6620267,41.9549491,http://www.plymouthbeer.rocks,No,No,Yes,No,No,Yes
Remnant Brewing,Massachusetts,Somerville,2 Bow Market Way,-71.0982412,42.3810249,http://www.remnantsomerville.com,Yes,No,No,No,No,No
River Styx Brewing,Massachusetts,Fitchburg,166 Boulder Dr Ste 112,-71.7946112,42.5817291,http://www.riverstyxbrewing.com,Yes,Yes,Yes,Yes,Yes,Yes
Second Wind Brewing Company,Massachusetts,Plymouth,7 Howland St,-70.6665478,41.9585551,http://www.secondwindbrewing.com,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Shire Breu Hous,Massachusetts,Dalton,63 Flansburg Ave,-73.1730985,42.4745867,http://www.shire.beer,Yes,Yes,No,No,Yes,Yes
Skyroc Brewery,Massachusetts,Attleboro,11 Riverbank Rd,-71.28788917,41.94462967,http://www.skyrocbrewery.com,No,Yes,Yes,No,No,No
Spencer Brewery,Massachusetts,Spencer,167 N Spencer Rd,-72.0133159,42.2976331,http://www.spencerbrewery.com,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Start Line Brewing Company,Massachusetts,Hopkinton,151R Hayden Rowe St,-71.51323676,42.21031634,http://www.startlinebrewing.com,Yes,Yes,No,Yes,No,Yes
Stellwagen Beer Company,Massachusetts,Marshfield,100 Enterprise Drive,-70.7480924084496,42.10365295,http://www.stellwagenbeer.com,Yes,Yes,Yes,No,No,No
Stone Cow Brewery,Massachusetts,Barre,500 West St,-72.123984,42.424354,,Yes,Yes,Yes,No,Yes,No
The Tap Brewing Company,Massachusetts,Haverhill,100 Washington St,-71.084935,42.7728879,http://www.tapbrewingcompany.com,Yes,Yes,Yes,No,Yes,Yes
Timberyard Brewing Co.,Massachusetts,East Brookfield,555 East Main St,-72.029058474949,42.23107415,http://timberyardbrewing.com,Yes,Yes,No,Yes,Yes,No
Tin Bridge Brewing,Massachusetts,Westfield,487 E Main St,-72.71967336,42.11268502,http://www.tinbridgebrewing.com,Yes,Yes,No,Yes,Yes,No
Tree House Brewery,Massachusetts,Charlton,129 Sturbridge Rd,-72.0125532,42.1366948,http://www.treehousebrew.com,Yes,Yes,Yes,Yes,Yes,No
Trillium Brewing,Massachusetts,Canton,110 Shawmut Rd,-71.1527702,42.1847202,http://www.trilliumbrewing.com,Yes,Yes,Yes,No,Yes,No
True North Ale Company,Massachusetts,Ipswich,116 County Rd,-70.837236,42.669841,http://www.TrueNorthAles.com,Yes,Yes,Yes,Yes,Yes,No
True West Brewing Company,Massachusetts,Acton,525 Massachusetts Ave,-71.4708368,42.4762337,http://www.brewtruewest.com,Yes,Yes,Yes,Yes,No,No
Turtle Swamp Brewing,Massachusetts,Jamaica Plain,3377 Washington St,-71.1123668,42.3014592,http://www.turtleswampbrewing.com,Yes,Yes,No,Yes,Yes,Yes
Untold Brewing,Massachusetts,Scituate,6 Old Country Way,-70.74750286,42.18080776,http://www.untoldbrewing.com,Yes,Yes,No,Yes,No,Yes
Vanished Valley Brewing Company,Massachusetts,Ludlow,782 Center Street,-72.47021639,42.18292741,http://www.vanishedvalley.com,Yes,Yes,No,Yes,Yes,Yes
Vitamin Sea Brewing,Massachusetts,Weymouth,30 Moore Road,-70.929302,42.1925207,,Yes,Yes,Yes,No,No,No
Wachusett Brewing Co,Massachusetts,Westminster,175 State Rd E,-71.87294016,42.55783542,http://www.wachusettbrew.com,Yes,Yes,Yes,Yes,Yes,Yes
Wandering Star Brewing Co,Massachusetts,Pittsfield,11 Gifford St,-73.21202303,42.45706449,http://www.wanderingstarbrewing.com,Yes,Yes,Yes,Yes,Yes,No
Westfield River Brewing Co,Massachusetts,Southwick,707 College Hwy,-72.765248,42.062268,http://www.westfieldriverbrewing.com,Yes,Yes,No,No,Yes,No
Widowmaker Brewing,Massachusetts,Braintree,220 Wood Rd,-71.0369456201276,42.2205924,http://www.widowmakerbrew.wordpress.com,Yes,Yes,Yes,Yes,Yes,No
Winter Hill Brewing Company,Massachusetts,Somerville,328 Broadway,-71.0939775805177,42.39265595,http://www.winterhillbrewing.com,Yes,Yes,Yes,No,No,No
Wormtown Brewery,Massachusetts,Worcester,72 Shrewsbury St,-71.7912262,42.2634992,http://www.wormtownbrewery.com,Yes,Yes,No,Yes,Yes,No
